City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Severo-Kurilsk,RU,50.6789,156.125,25.25,78,10,13.71,clear sky
318,Misratah,LY,32.3754,15.0925,62.96,59,97,14.56,overcast clouds
319,Yermish,RU,54.7678,42.2711,27.19,93,7,5.99,clear sky
320,Pacifica,US,37.6138,-122.4869,66.99,67,1,4.61,clear sky
321,Ramnagar,IN,29.4,79.1167,72.0,24,0,6.2,clear sky
322,Brumado,BR,-14.2036,-41.6653,95.0,17,0,7.14,clear sky
323,Shebunino,RU,46.4339,141.8603,36.19,95,100,18.97,overcast clouds
324,Aktash,RU,50.3,87.7333,16.05,95,100,4.07,overcast clouds
325,Leningradskiy,RU,69.3833,178.4167,-17.86,94,99,2.24,overcast clouds
326,Road Town,VG,18.4167,-64.6167,84.2,61,40,16.11,scattered clouds
327,Kinablangan,PH,7.6947,126.5503,77.99,84,100,5.48,overcast clouds
328,Zaragoza,ES,41.6561,-0.8773,66.2,39,0,4.61,clear sky
329,Esil,KZ,51.9556,66.4042,13.01,95,25,8.81,scattered clouds
330,Kayerkan,RU,69.3497,87.7602,-11.45,99,100,4.52,overcast clouds
331,Kon Tum,VN,14.35,108.0,67.91,83,45,2.39,scattered clouds
332,Lebu,CL,-37.6167,-73.65,62.73,70,0,14.52,clear sky
333,Baie-Saint-Paul,CA,47.4411,-70.4986,37.4,100,100,3.44,snow
334,Karratha,AU,-20.7377,116.8463,86.49,47,53,6.96,broken clouds
335,Atasu,KZ,48.6814,71.6433,28.18,92,100,8.77,overcast clouds
336,Arrecife,ES,28.963,-13.5477,68.0,77,20,5.75,few clouds
337,Tyukalinsk,RU,55.8732,72.1967,23.83,95,100,18.16,snow
338,Iquitos,PE,-3.7481,-73.2472,75.2,94,75,5.75,light rain
339,Kumo,NG,10.0447,11.2122,86.65,14,0,11.54,clear sky
340,Cairns,AU,-16.9167,145.7667,77.0,78,84,10.36,broken clouds
341,Omboue,GA,-1.5746,9.2618,78.21,87,100,10.51,moderate rain
